#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  16
# Band-Index    1
   3.58562    -18.995830  0.626  0.016  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.648
   3.62922    -19.093966  0.630  0.014  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.648
   3.67281    -19.181848  0.632  0.010  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.646
   3.71641    -19.259484  0.636  0.008  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.646
   3.76000    -19.326820  0.638  0.006  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.646
   3.80360    -19.383840  0.640  0.004  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.644
   3.84719    -19.430517  0.640  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   3.89079    -19.466834  0.642  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   3.93438    -19.492793  0.642  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   3.97798    -19.508369  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
   4.02157    -19.513560  0.644  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.644
 
# Band-Index    2
   4.02157     -7.612297  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   3.97798     -7.606095  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   3.93438     -7.587487  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   3.89079     -7.556486  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   3.84719     -7.513125  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   3.80360     -7.457435  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   3.76000     -7.389461  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   3.71641     -7.309255  0.000  0.000  0.434  0.000  0.000  0.000  0.000  0.000  0.000  0.434
   3.67281     -7.216883  0.000  0.000  0.434  0.000  0.000  0.000  0.000  0.000  0.000  0.434
   3.62922     -7.112445  0.000  0.000  0.434  0.000  0.000  0.000  0.000  0.000  0.000  0.434
   3.58562     -6.995996  0.000  0.000  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   3.54203     -6.867674  0.000  0.000  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   3.49843     -6.727597  0.000  0.000  0.438  0.000  0.000  0.000  0.000  0.000  0.000  0.438
   3.45484     -6.575904  0.000  0.000  0.438  0.000  0.000  0.000  0.000  0.000  0.000  0.438
   3.41124     -6.412752  0.000  0.000  0.440  0.000  0.000  0.000  0.000  0.000  0.000  0.440
   3.36765     -6.316797  0.172  0.408  0.000  0.204  0.000  0.000  0.000  0.000  0.000  0.784
   3.32405     -6.635735  0.188  0.394  0.000  0.200  0.000  0.000  0.000  0.000  0.000  0.782
   3.28046     -6.954110  0.202  0.378  0.000  0.198  0.000  0.000  0.000  0.000  0.000  0.778
   3.23686     -7.270847  0.218  0.364  0.000  0.194  0.000  0.000  0.000  0.000  0.000  0.776
   3.19327     -7.584952  0.234  0.350  0.000  0.192  0.000  0.000  0.000  0.000  0.000  0.774
   3.14967     -7.895636  0.248  0.336  0.000  0.188  0.000  0.000  0.000  0.000  0.000  0.772
   3.10608     -8.202133  0.264  0.322  0.000  0.184  0.000  0.000  0.000  0.000  0.000  0.770
   3.06248     -8.503845  0.280  0.308  0.000  0.182  0.000  0.000  0.000  0.000  0.000  0.768
   3.01889     -8.800276  0.294  0.294  0.000  0.178  0.000  0.000  0.000  0.000  0.000  0.766
   2.97529     -9.090881  0.310  0.282  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.766
   2.93170     -9.375348  0.324  0.268  0.000  0.172  0.000  0.000  0.000  0.000  0.000  0.764
   2.88810     -9.653298  0.338  0.256  0.000  0.168  0.000  0.000  0.000  0.000  0.000  0.762
   2.84451     -9.924437  0.352  0.244  0.000  0.164  0.000  0.000  0.000  0.000  0.000  0.760
   2.80091    -10.188500  0.366  0.232  0.000  0.160  0.000  0.000  0.000  0.000  0.000  0.758
   2.75732    -10.445216  0.380  0.220  0.000  0.158  0.000  0.000  0.000  0.000  0.000  0.756
   2.71372    -10.694401  0.392  0.208  0.000  0.154  0.000  0.000  0.000  0.000  0.000  0.754
   2.67013    -10.935910  0.406  0.198  0.000  0.150  0.000  0.000  0.000  0.000  0.000  0.754
   2.62653    -11.169543  0.418  0.186  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.752
   2.58294    -11.395171  0.432  0.176  0.000  0.144  0.000  0.000  0.000  0.000  0.000  0.750
   2.53934    -11.612675  0.444  0.166  0.000  0.140  0.000  0.000  0.000  0.000  0.000  0.748
   2.49575    -11.821996  0.454  0.156  0.000  0.136  0.000  0.000  0.000  0.000  0.000  0.746
   2.45215    -12.022900  0.466  0.146  0.000  0.134  0.000  0.000  0.000  0.000  0.000  0.746
   2.40856    -12.215162  0.478  0.136  0.000  0.130  0.000  0.000  0.000  0.000  0.000  0.744
   2.36496    -12.397845  0.488  0.128  0.000  0.128  0.000  0.000  0.000  0.000  0.000  0.742
   2.32137    -12.541798  0.498  0.122  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.740
   2.32137    -12.541798  0.498  0.122  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.740
   2.29953    -12.467546  0.490  0.114  0.000  0.134  0.000  0.000  0.000  0.000  0.000  0.740
   2.27770    -12.406939  0.480  0.106  0.000  0.152  0.000  0.000  0.000  0.000  0.000  0.738
   2.25587    -12.363358  0.466  0.100  0.000  0.170  0.000  0.000  0.000  0.000  0.000  0.736
   2.23403    -12.336581  0.450  0.094  0.000  0.186  0.000  0.000  0.000  0.000  0.000  0.732
   2.21220    -12.325266  0.432  0.092  0.000  0.204  0.000  0.000  0.000  0.000  0.000  0.728
   2.19037    -12.327352  0.414  0.090  0.000  0.218  0.000  0.000  0.000  0.000  0.000  0.722
   2.16853    -12.340486  0.398  0.088  0.000  0.232  0.000  0.000  0.000  0.000  0.000  0.718
   2.14670    -12.362392  0.382  0.088  0.000  0.242  0.000  0.000  0.000  0.000  0.000  0.712
   2.12487    -12.391058  0.368  0.090  0.000  0.252  0.000  0.000  0.000  0.000  0.000  0.708
   2.10303    -12.424729  0.354  0.090  0.000  0.260  0.000  0.000  0.000  0.000  0.000  0.704
   2.08120    -12.461984  0.344  0.092  0.000  0.266  0.000  0.000  0.000  0.000  0.000  0.700
   2.05937    -12.501749  0.334  0.092  0.000  0.270  0.000  0.000  0.000  0.000  0.000  0.696
   2.03753    -12.543107  0.326  0.094  0.000  0.274  0.000  0.000  0.000  0.000  0.000  0.694
   2.01570    -12.585341  0.318  0.094  0.000  0.278  0.000  0.000  0.000  0.000  0.000  0.690
   1.99387    -12.627892  0.312  0.094  0.000  0.280  0.000  0.000  0.000  0.000  0.000  0.688
   1.97203    -12.670305  0.308  0.096  0.000  0.284  0.000  0.000  0.000  0.000  0.000  0.686
   1.95020    -12.712216  0.302  0.096  0.000  0.286  0.000  0.000  0.000  0.000  0.000  0.684
   1.92837    -12.753324  0.298  0.096  0.000  0.286  0.000  0.000  0.000  0.000  0.000  0.682
   1.90653    -12.793377  0.296  0.096  0.000  0.288  0.000  0.000  0.000  0.000  0.000  0.680
   1.88470    -12.832224  0.292  0.098  0.000  0.290  0.000  0.000  0.000  0.000  0.000  0.678
   1.86287    -12.869643  0.290  0.098  0.000  0.290  0.000  0.000  0.000  0.000  0.000  0.676
   1.84103    -12.905566  0.288  0.098  0.000  0.290  0.000  0.000  0.000  0.000  0.000  0.676
   1.81920    -12.939839  0.286  0.098  0.000  0.292  0.000  0.000  0.000  0.000  0.000  0.674
   1.79737    -12.972372  0.284  0.098  0.000  0.292  0.000  0.000  0.000  0.000  0.000  0.674
   1.77553    -13.003085  0.282  0.098  0.000  0.292  0.000  0.000  0.000  0.000  0.000  0.672
   1.75370    -13.031883  0.280  0.098  0.000  0.292  0.000  0.000  0.000  0.000  0.000  0.672
   1.73187    -13.058754  0.280  0.098  0.000  0.292  0.000  0.000  0.000  0.000  0.000  0.670
   1.71003    -13.083611  0.278  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.670
   1.68820    -13.106447  0.278  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.668
   1.66637    -13.127190  0.276  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.668
   1.64453    -13.145813  0.276  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.668
   1.62270    -13.162313  0.276  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.668
   1.60087    -13.176613  0.276  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.666
   1.57903    -13.188771  0.274  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.666
   1.55720    -13.198744  0.274  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.666
   1.53537    -13.206493  0.274  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.666
   1.51353    -13.212047  0.274  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.666
   1.49170    -13.215387  0.274  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.666
   1.46987    -13.216499  0.274  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.666
   1.46987    -13.216499  0.274  0.098  0.000  0.294  0.000  0.000  0.000  0.000  0.000  0.666
   1.43218    -13.144091  0.288  0.096  0.000  0.286  0.000  0.000  0.000  0.000  0.000  0.670
   1.39449    -12.963175  0.310  0.092  0.000  0.276  0.000  0.000  0.000  0.000  0.000  0.680
   1.35680    -12.725561  0.324  0.090  0.000  0.272  0.000  0.000  0.000  0.000  0.000  0.686
   1.31911    -12.458584  0.330  0.090  0.000  0.272  0.000  0.000  0.000  0.000  0.000  0.692
   1.28142    -12.174290  0.330  0.092  0.000  0.276  0.000  0.000  0.000  0.000  0.000  0.698
   1.24373    -11.878211  0.328  0.094  0.000  0.280  0.000  0.000  0.000  0.000  0.000  0.702
   1.20604    -11.573338  0.324  0.096  0.000  0.288  0.000  0.000  0.000  0.000  0.000  0.708
   1.16836    -11.261421  0.318  0.098  0.000  0.296  0.000  0.000  0.000  0.000  0.000  0.712
   1.13067    -10.943560  0.310  0.102  0.000  0.304  0.000  0.000  0.000  0.000  0.000  0.716
   1.09298    -10.620702  0.302  0.104  0.000  0.314  0.000  0.000  0.000  0.000  0.000  0.720
   1.05529    -10.293456  0.292  0.108  0.000  0.322  0.000  0.000  0.000  0.000  0.000  0.722
   1.01760     -9.962515  0.282  0.112  0.000  0.332  0.000  0.000  0.000  0.000  0.000  0.726
   0.97991     -9.628385  0.272  0.114  0.000  0.344  0.000  0.000  0.000  0.000  0.000  0.730
   0.94222     -9.291700  0.262  0.118  0.000  0.354  0.000  0.000  0.000  0.000  0.000  0.734
   0.90453     -8.953090  0.250  0.122  0.000  0.366  0.000  0.000  0.000  0.000  0.000  0.738
   0.86684     -8.613057  0.240  0.126  0.000  0.376  0.000  0.000  0.000  0.000  0.000  0.742
   0.82916     -8.272366  0.228  0.130  0.000  0.388  0.000  0.000  0.000  0.000  0.000  0.746
   0.79147     -7.931700  0.216  0.134  0.000  0.400  0.000  0.000  0.000  0.000  0.000  0.750
   0.75378     -7.591817  0.204  0.138  0.000  0.412  0.000  0.000  0.000  0.000  0.000  0.754
   0.71609     -7.253568  0.192  0.142  0.000  0.424  0.000  0.000  0.000  0.000  0.000  0.758
   0.67840     -6.917875  0.178  0.146  0.000  0.436  0.000  0.000  0.000  0.000  0.000  0.762
   0.64071     -6.585743  0.166  0.150  0.000  0.450  0.000  0.000  0.000  0.000  0.000  0.766
   0.60302     -6.442218  0.000  0.000  0.440  0.000  0.000  0.000  0.000  0.000  0.000  0.440
   0.56533     -6.581959  0.000  0.000  0.438  0.000  0.000  0.000  0.000  0.000  0.000  0.438
   0.52764     -6.713219  0.000  0.000  0.438  0.000  0.000  0.000  0.000  0.000  0.000  0.438
   0.48996     -6.835872  0.000  0.000  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   0.45227     -6.949821  0.000  0.000  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   0.41458     -7.054934  0.000  0.000  0.436  0.000  0.000  0.000  0.000  0.000  0.000  0.436
   0.37689     -7.151145  0.000  0.000  0.434  0.000  0.000  0.000  0.000  0.000  0.000  0.434
   0.33920     -7.238391  0.000  0.000  0.434  0.000  0.000  0.000  0.000  0.000  0.000  0.434
   0.30151     -7.316605  0.000  0.000  0.434  0.000  0.000  0.000  0.000  0.000  0.000  0.434
   0.26382     -7.385732  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.22613     -7.445734  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.18844     -7.496570  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.15076     -7.538198  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.11307     -7.570604  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.07538     -7.593761  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.03769     -7.607668  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
   0.00000     -7.612297  0.000  0.000  0.432  0.000  0.000  0.000  0.000  0.000  0.000  0.432
 
# Band-Index    3
   0.00000     -3.013092  0.000  0.054  0.000  0.770  0.000  0.000  0.000  0.000  0.000  0.822
   0.03769     -3.029123  0.000  0.102  0.000  0.720  0.000  0.000  0.000  0.000  0.000  0.822
   0.07538     -3.077692  0.004  0.156  0.000  0.662  0.000  0.000  0.000  0.000  0.000  0.822
