#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 120  16
# Band-Index    1
   4.34168    -13.238099  0.277  0.011  0.000  0.069  0.000  0.000  0.000  0.000  0.000  0.358
   4.38714    -13.245264  0.273  0.010  0.000  0.073  0.000  0.000  0.000  0.000  0.000  0.357
   4.43261    -13.246394  0.270  0.009  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.356
   4.47807    -13.240552  0.266  0.008  0.000  0.081  0.000  0.000  0.000  0.000  0.000  0.355
   4.52354    -13.227041  0.263  0.007  0.000  0.084  0.000  0.000  0.000  0.000  0.000  0.355
   4.56900    -13.205338  0.261  0.007  0.000  0.087  0.000  0.000  0.000  0.000  0.000  0.355
   4.61446    -13.175110  0.258  0.006  0.000  0.090  0.000  0.000  0.000  0.000  0.000  0.354
   4.65993    -13.136181  0.256  0.006  0.000  0.092  0.000  0.000  0.000  0.000  0.000  0.354
   4.70539    -13.088498  0.255  0.006  0.000  0.094  0.000  0.000  0.000  0.000  0.000  0.355
   4.75085    -13.032182  0.253  0.006  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.355
   4.79632    -12.967520  0.252  0.006  0.000  0.097  0.000  0.000  0.000  0.000  0.000  0.355
   4.84178    -12.895105  0.252  0.007  0.000  0.097  0.000  0.000  0.000  0.000  0.000  0.356
   4.88724    -12.816009  0.252  0.008  0.000  0.097  0.000  0.000  0.000  0.000  0.000  0.357
   4.93271    -12.732180  0.253  0.009  0.000  0.096  0.000  0.000  0.000  0.000  0.000  0.358
   4.97817    -12.647277  0.256  0.011  0.000  0.093  0.000  0.000  0.000  0.000  0.000  0.359
   5.02363    -12.568730  0.261  0.014  0.000  0.086  0.000  0.000  0.000  0.000  0.000  0.361
   5.06910    -12.511928  0.270  0.019  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.364
   5.11456    -12.506246  0.279  0.028  0.000  0.059  0.000  0.000  0.000  0.000  0.000  0.366
   5.16002    -12.585512  0.281  0.039  0.000  0.046  0.000  0.000  0.000  0.000  0.000  0.365
   5.20549    -12.749208  0.275  0.046  0.000  0.041  0.000  0.000  0.000  0.000  0.000  0.362
   5.25095    -12.964280  0.269  0.048  0.000  0.041  0.000  0.000  0.000  0.000  0.000  0.358
   5.29641    -13.202770  0.265  0.048  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.355
   5.34188    -13.449759  0.264  0.046  0.000  0.043  0.000  0.000  0.000  0.000  0.000  0.352
   5.38734    -13.697735  0.263  0.043  0.000  0.043  0.000  0.000  0.000  0.000  0.000  0.350
