#K-Path          Energy      Orbital-Weight
# NKPTS & NBANDS: 120  16
# Band-Index    1
   3.62922      3.852509     0.010
   3.67281      3.732767     0.010
   3.71641      3.627116     0.009
   3.76000      3.535560     0.010
   3.80360      3.458098     0.010
   3.84719      3.394727     0.010
   3.89079      3.345444     0.010
   3.93438      3.310246     0.010
   3.97798      3.289128     0.010
   4.02157      3.282088     0.010
 
# Band-Index    6
   4.02157      4.081105     0.011
   3.97798      4.088239     0.011
   3.93438      4.109639     0.011
   3.89079      4.145303     0.011
   3.84719      4.195226     0.011
   3.80360      4.259400     0.011
   3.76000      4.337815     0.011
   3.71641      4.430459     0.011
   3.67281      4.537317     0.011
   3.62922      4.658370     0.012
   3.58562      4.793593     0.012
   3.54203      4.942960     0.012
   3.49843      5.106435     0.012
   3.45484      5.283977     0.012
   3.41124      5.475534     0.012
   3.36765      5.681044     0.012
   3.32405      5.900427     0.012
   3.28046      6.133582     0.013
   3.23686      6.380362     0.013
   3.19327      6.597315     0.299
   3.14967      6.215701     0.302
   3.10608      6.382842     0.012
   3.06248      6.683700     0.012
   3.01889      6.998067     0.012
   2.97529      7.325805     0.013
   2.93170      7.666739     0.012
   2.88810      8.020649     0.013
   2.84451      8.387245     0.015
   2.80091      8.766151     0.015
   2.75732      9.156851     0.017
   2.71372      9.558638     0.017
   2.67013      9.970499     0.019
   2.62653     10.390942     0.021
   2.58294     10.751820     0.018
   2.53934     10.781037     0.013
   2.49575     10.762306     0.009
   2.45215     10.723513     0.005
   2.40856     10.683559     0.002
   2.36496     10.654376     0.001
   2.32137     10.643476     0.000
   2.32137     10.643476     0.000
   2.29953     10.646514     0.000
   2.27770     10.655778     0.001
   2.25587     10.671527     0.001
   2.23403     10.693914     0.002
   2.21220     10.722994     0.004
   2.19037     10.758716     0.005
   2.16853     10.800931     0.007
   2.14670     10.849381     0.009
   2.12487     10.903702     0.011
   2.10303     10.963415     0.014
   2.08120     11.027930     0.017
   2.05937     11.096532     0.020
   2.03753     11.168392     0.023
   2.01570     11.242564     0.026
   1.99387     11.098836     0.256
   1.97203     10.866617     0.255
   1.95020     10.634806     0.253
   1.92837     10.404755     0.252
   1.90653     10.177621     0.251
   1.88470      9.954416     0.249
   1.86287      9.736101     0.247
   1.84103      9.523530     0.246
   1.81920      9.317539     0.244
   1.79737      9.118935     0.242
   1.77553      8.928485     0.240
   1.75370      8.746960     0.239
   1.73187      8.575105     0.237
   1.71003      8.413647     0.236
   1.68820      8.263308     0.235
   1.66637      8.124782     0.233
   1.64453      7.998736     0.232
   1.62270      7.885812     0.231
   1.60087      7.786614     0.229
   1.57903      7.701670     0.228
   1.55720      7.631467     0.228
   1.53537      7.576418     0.227
   1.51353      7.536854     0.227
   1.49170      7.513019     0.226
   1.46987      7.505056     0.225
   1.46987      7.505056     0.225
   1.43218      7.506941     0.226
   1.39449      7.512598     0.226
   1.35680      7.521955     0.225
   1.31911      7.534885     0.226
   1.28142      7.551176     0.226
   1.24373      7.570405     0.226
   1.20604      7.591748     0.225
   1.16836      7.613055     0.222
   1.13067      7.625930     0.209
   1.09298      7.575545     0.123
   1.05529      7.359663     0.036
   1.01760      7.090666     0.019
   0.97991      6.820648     0.016
   0.94222      6.557474     0.014
   0.90453      6.303118     0.013
   0.86684      6.058308     0.013
   0.82916      6.288421     0.234
   0.79147      6.355030     0.056
   0.75378      6.184144     0.020
   0.71609      5.989235     0.015
   0.67840      5.797926     0.013
   0.64071      5.614726     0.013
   0.60302      5.440961     0.012
   0.56533      5.277163     0.012
   0.52764      5.123591     0.012
   0.48996      4.980387     0.012
   0.45227      4.847639     0.012
   0.41458      4.725404     0.012
   0.37689      4.613720     0.012
   0.33920      4.512617     0.011
   0.30151      4.422115     0.011
   0.26382      4.342231     0.011
   0.22613      4.272978     0.011
   0.18844      4.214364     0.011
   0.15076      4.166398     0.011
   0.11307      4.129085     0.011
   0.07538      4.102430     0.011
   0.03769      4.086436     0.011
   0.00000      4.081105     0.011
 
# Band-Index    7
   0.00000      4.443618     0.001
   0.03769      4.449012     0.001
   0.07538      4.465197     0.001
   0.11307      4.492171     0.001
   0.15076      4.529935     0.001
   0.18844      4.578491     0.001
   0.22613      4.637837     0.001
   0.26382      4.707975     0.001
   0.30151      4.788905     0.001
   0.33920      4.880626     0.001
   0.37689      4.983138     0.001
   0.41458      5.096440     0.001
   0.45227      5.220532     0.001
   0.48996      5.355413     0.001
   0.52764      5.501079     0.001
   0.56533      5.657529     0.001
   0.60302      5.824758     0.001
   0.64071      6.002763     0.001
   0.67840      6.191535     0.001
   0.71609      6.391062     0.001
   0.75378      6.601325     0.001
   0.79147      6.797971     0.247
   0.82916      6.740894     0.067
   0.86684      6.933560     0.026
   0.90453      7.170389     0.019
   0.94222      7.424403     0.017
   0.97991      7.691130     0.016
   1.01760      7.798582     0.219
   1.05529      7.777677     0.206
   1.09298      7.821801     0.117
   1.13067      8.043934     0.030
   1.16836      8.342105     0.018
   1.20604      8.661639     0.015
   1.24373      8.994184     0.014
   1.28142      9.337553     0.015
   1.31911      9.690785     0.015
   1.35680     10.053191     0.016
   1.39449     10.423906     0.017
   1.43218     10.800471     0.017
   1.46987     11.117228     0.019
   1.46987     11.117228     0.019
   1.49170     11.118755     0.019
   1.51353     11.123336     0.019
   1.53537     11.130967     0.019
   1.55720     11.141641     0.019
   1.57903     11.155348     0.019
   1.60087     11.172076     0.019
   1.62270     11.191809     0.020
   1.64453     11.214528     0.021
   1.66637     11.240213     0.021
   1.68820     11.268836     0.021
   1.71003     11.300368     0.022
   1.73187     11.334771     0.022
   1.75370     11.372008     0.023
   1.77553     11.412029     0.024
   1.79737     11.454784     0.025
   1.81920     11.500214     0.026
   1.84103     11.548248     0.026
   1.86287     11.598813     0.027
   1.88470     11.651813     0.029
   1.90653     11.608621     0.041
   1.92837     11.540070     0.038
   1.95020     11.467969     0.035
   1.97203     11.393531     0.032
   1.99387     11.317994     0.029
   2.01570     11.329778     0.256
   2.03753     11.557342     0.256
   2.05937     11.778613     0.253
   2.08120     11.989359     0.247
   2.10303     12.182891     0.231
   2.12487     12.338094     0.128
   2.14670     12.417674     0.071
   2.16853     12.486343     0.073
   2.19037     12.552741     0.079
   2.21220     12.616888     0.086
   2.23403     12.678262     0.095
   2.25587     12.736209     0.103
   2.27770     12.789969     0.114
   2.29953     12.838585     0.124
   2.32137     12.880028     0.136
   2.32137     12.880028     0.136
   2.36496     12.755033     0.103
   2.40856     12.458915     0.068
   2.45215     12.083980     0.047
   2.49575     11.672893     0.035
   2.53934     11.247074     0.029
   2.58294     10.817688     0.023
   2.62653     10.643578     0.022
   2.67013     10.442890     0.023
   2.71372     10.167165     0.022
   2.75732      9.846602     0.020
   2.80091      9.504902     0.019
   2.84451      9.156344     0.018
   2.88810      8.808981     0.017
   2.93170      8.467425     0.016
   2.97529      8.134418     0.015
   3.01889      7.811672     0.015
   3.06248      7.500296     0.014
   3.10608      7.201045     0.014
   3.14967      6.914457     0.013
   3.19327      6.641982     0.021
   3.23686      6.782758     0.001
   3.28046      6.530084     0.001
   3.32405      6.291839     0.001
   3.36765      6.068027     0.001
   3.41124      5.858651     0.001
   3.45484      5.663712     0.001
   3.49843      5.483213     0.001
   3.54203      5.317155     0.001
   3.58562      5.165538     0.001
   3.62922      5.028364     0.001
   3.67281      4.905631     0.001
   3.71641      4.797341     0.001
   3.76000      4.703492     0.001
   3.80360      4.624083     0.001
   3.84719      4.559114     0.001
   3.89079      4.508583     0.001
   3.93438      4.472491     0.001
   3.97798      4.450836     0.001
   4.02157      4.443618     0.001
 
# Band-Index    8
   4.02157      5.354063     0.008
   3.97798      5.361218     0.008
   3.93438      5.382684     0.008
   3.89079      5.418458     0.008
   3.84719      5.468536     0.008
   3.80360      5.532913     0.008
   3.76000      5.611580     0.008
   3.71641      5.704529     0.008
   3.67281      5.811747     0.008
   3.62922      5.933220     0.008
   3.58562      6.068929     0.008
   3.54203      6.218853     0.008
   3.49843      6.382966     0.008
   3.45484      6.561233     0.008
   3.41124      6.753614     0.008
   3.36765      6.960059     0.008
