     #Energy         C_s        C_px        C_py        C_pz
   -18.99398     0.18836     0.00348     0.00350     0.00000
   -18.97998     0.18948     0.00356     0.00358     0.00000
   -18.96698     0.19060     0.00364     0.00366     0.00000
   -18.95298     0.19172     0.00371     0.00373     0.00000
   -18.93998     0.19284     0.00379     0.00381     0.00000
   -18.92598     0.19396     0.00387     0.00389     0.00000
   -18.91298     0.19508     0.00395     0.00397     0.00000
   -18.89898     0.19620     0.00403     0.00405     0.00000
   -18.88598     0.19732     0.00411     0.00413     0.00000
   -18.87298     0.19844     0.00419     0.00421     0.00000
   -18.85898     0.19956     0.00426     0.00429     0.00000
   -18.84598     0.20060     0.00434     0.00437     0.00000
   -18.83198     0.20180     0.00442     0.00445     0.00000
   -18.81898     0.20300     0.00450     0.00453     0.00000
   -18.80498     0.20400     0.00458     0.00461     0.00000
   -18.79198     0.20520     0.00467     0.00469     0.00000
   -18.77798     0.19560     0.00490     0.00485     0.00000
   -18.76498     0.18952     0.00501     0.00503     0.00000
   -18.75198     0.18914     0.00510     0.00512     0.00000
   -18.73798     0.18876     0.00519     0.00521     0.00000
   -18.72498     0.18840     0.00528     0.00530     0.00000
   -18.71098     0.18802     0.00537     0.00539     0.00000
   -18.69798     0.18764     0.00546     0.00548     0.00000
   -18.68398     0.18728     0.00555     0.00557     0.00000
   -18.67098     0.18690     0.00564     0.00566     0.00000
   -18.65698     0.18652     0.00573     0.00575     0.00000
   -18.64398     0.18616     0.00582     0.00584     0.00000
   -18.63098     0.18578     0.00590     0.00593     0.00000
   -18.61698     0.18540     0.00599     0.00602     0.00000
   -18.60398     0.18504     0.00608     0.00611     0.00000
   -18.58998     0.18466     0.00617     0.00620     0.00000
   -18.57698     0.18428     0.00626     0.00629     0.00000
   -18.56298     0.18442     0.00634     0.00637     0.00000
   -18.54998     0.18494     0.00642     0.00645     0.00000
   -18.53698     0.18548     0.00649     0.00653     0.00000
   -18.52298     0.18600     0.00657     0.00660     0.00000
   -18.50998     0.18652     0.00665     0.00668     0.00000
   -18.49598     0.18704     0.00672     0.00676     0.00000
   -18.48298     0.18758     0.00680     0.00684     0.00000
   -18.46898     0.18810     0.00688     0.00691     0.00000
   -18.45598     0.18862     0.00695     0.00699     0.00000
   -18.44198     0.18914     0.00703     0.00707     0.00000
   -18.42898     0.18966     0.00711     0.00715     0.00000
   -18.41598     0.19020     0.00719     0.00722     0.00000
   -18.40198     0.19072     0.00726     0.00730     0.00000
   -18.38898     0.19124     0.00734     0.00738     0.00000
   -18.37498     0.19176     0.00742     0.00746     0.00000
   -18.36198     0.19228     0.00750     0.00754     0.00000
   -18.34798     0.19282     0.00757     0.00762     0.00000
   -18.33498     0.19334     0.00765     0.00770     0.00000
   -18.32098     0.19386     0.00773     0.00777     0.00000
   -18.30798     0.19438     0.00781     0.00785     0.00000
   -18.29498     0.19490     0.00789     0.00793     0.00000
   -18.28098     0.19542     0.00797     0.00801     0.00000
   -18.26798     0.19594     0.00805     0.00809     0.00000
   -18.25398     0.19564     0.00815     0.00818     0.00000
   -18.24098     0.19390     0.00827     0.00830     0.00000
   -18.22698     0.19218     0.00840     0.00843     0.00000
   -18.21398     0.19044     0.00852     0.00855     0.00000
   -18.19998     0.18872     0.00864     0.00867     0.00000
   -18.18698     0.18700     0.00876     0.00880     0.00000
   -18.17398     0.18526     0.00888     0.00892     0.00000
   -18.15998     0.18356     0.00900     0.00904     0.00000
   -18.14698     0.18296     0.00910     0.00914     0.00000
   -18.13298     0.18298     0.00918     0.00923     0.00000
   -18.11998     0.18300     0.00926     0.00931     0.00000
   -18.10598     0.18302     0.00935     0.00939     0.00000
   -18.09298     0.18304     0.00943     0.00948     0.00000
   -18.07898     0.18306     0.00951     0.00956     0.00000
   -18.06598     0.18308     0.00960     0.00965     0.00000
   -18.05298     0.18310     0.00968     0.00973     0.00000
   -18.03898     0.18312     0.00976     0.00981     0.00000
   -18.02598     0.18314     0.00985     0.00990     0.00000
   -18.01198     0.18316     0.00993     0.00998     0.00000
   -17.99898     0.18318     0.01001     0.01007     0.00000
   -17.98498     0.18320     0.01010     0.01015     0.00000
   -17.97198     0.18322     0.01018     0.01023     0.00000
   -17.95898     0.18324     0.01026     0.01032     0.00000
   -17.94498     0.18326     0.01034     0.01040     0.00000
   -17.93198     0.18328     0.01043     0.01049     0.00000
   -17.91798     0.18330     0.01051     0.01057     0.00000
   -17.90498     0.18332     0.01059     0.01065     0.00000
   -17.89098     0.18334     0.01068     0.01074     0.00000
   -17.87798     0.18336     0.01076     0.01082     0.00000
   -17.86398     0.18338     0.01084     0.01091     0.00000
   -17.85098     0.18340     0.01093     0.01099     0.00000
   -17.83798     0.18358     0.01101     0.01107     0.00000
   -17.82398     0.18386     0.01108     0.01115     0.00000
   -17.81098     0.18416     0.01116     0.01122     0.00000
   -17.79698     0.18444     0.01124     0.01130     0.00000
   -17.78398     0.18472     0.01131     0.01138     0.00000
   -17.76998     0.18502     0.01139     0.01145     0.00000
   -17.75698     0.18530     0.01147     0.01153     0.00000
   -17.74298     0.18558     0.01154     0.01161     0.00000
   -17.72998     0.18586     0.01162     0.01169     0.00000
   -17.71698     0.18616     0.01170     0.01176     0.00000
   -17.70298     0.18644     0.01177     0.01184     0.00000
   -17.68998     0.18672     0.01185     0.01192     0.00000
   -17.67598     0.18702     0.01193     0.01200     0.00000
   -17.66298     0.18730     0.01200     0.01207     0.00000
   -17.64898     0.18758     0.01208     0.01215     0.00000
